,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
685,23-5-B,0.7323264166975425,0.728,32.4225993082076,-85.4151207030682,-7.5,22,22_B,B,-10.0,-5.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
686,23-5-C,0.5996506579431607,0.517,32.4225993082076,-85.4151207030682,-12.5,22,22_C,C,-15.0,-10.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
687,23-5-D,0.30579521878394306,0.296,32.4225993082076,-85.4151207030682,-17.5,22,22_D,D,-20.0,-15.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
688,23-5-E,0.26680118180564494,0.213,32.4225993082076,-85.4151207030682,-22.5,22,22_E,E,-25.0,-20.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
689,23-5-F,0.1722757010181454,0.171,32.4225993082076,-85.4151207030682,-27.5,22,22_F,F,-30.0,-25.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
690,24-1-A,0.927092881109552,1.009,32.4216180984696,-85.4147157436893,-2.5,23,23_A,A,-5.0,0.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
691,24-1-B,1.1310578471079955,1.124,32.4216180984696,-85.4147157436893,-7.5,23,23_B,B,-10.0,-5.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
692,24-1-C,0.8516263992064597,0.749,32.4216180984696,-85.4147157436893,-12.5,23,23_C,C,-15.0,-10.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
693,24-1-D,0.7944611585277946,0.665,32.4216180984696,-85.4147157436893,-17.5,23,23_D,D,-20.0,-15.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
694,24-1-E,0.5321096707107703,0.555,32.4216180984696,-85.4147157436893,-22.5,23,23_E,E,-25.0,-20.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
695,24-1-F,0.3992555831807807,0.313,32.4216180984696,-85.4147157436893,-27.5,23,23_F,F,-30.0,-25.0,-12635.300648229237,-6157.548776532605,1,-12635.300648229237,-6157.548776532605
